;********************
;2013.03.13日按TT语料统计词频整理
;据ju、去qu、需xu 、略lve4、虐nve4
;与Cizu_60K.txt的主要区别，删除类似”数据统计、大力发展、代表大会”等词，词频采用TT统计的词频
;20130318“新浪、微博、新浪网、个大降频	;20130326更新词频;2013.03.28增3.6词组
;20130401增加网络词汇2500个;20130403更新词频;2013.04.27添加常用三字词删除低频字词，补齐天干地支
;20130520增四三字词删除低频字词	;20130604增歇后语;20130605重新统计词频	;20130622 人名放入add_Nmame.txt 20130706删低频两字词
蘑菇	mo2 gu1	100000000
社区	she4 qu1	100000000
科技	ke1 ji4	100000000
附近	fu4 jin4	100000000
团购	tuan2 gou4	100000000
原创	yuan2 chuang4	100000000
郑州	zheng4 zhou1	100000000
治疗	zhi4 liao2	100000000
在哪里	zai4 na3 li3	100000000
资源	zi1 yuan2	100000000
购物	gou4 wu4	100000000
土豆	tu3 dou4	100000000
应用	ying4 yong4	100000000
消费	xiao1 fei4	100000000
数字	shu4 zi4	100000000
正品	zheng4 pin3	100000000
阅读	yue4 du2	100000000
女士	nv3 shi4	100000000
自动	zi4 dong4	100000000
软件	ruan3 jian4	100000000
有限公司	you3 xian4 gong1 si1	100000000
宁波	ning2 bo1	100000000
二十	er4 shi2	100000000
工程	gong1 cheng2	100000000
家居	jia1 ju1	100000000
人才	ren2 cai2	100000000
中华	zhong1 hua2	100000000
咨询	zi1 xun2	100000000
智能	zhi4 neng2	100000000
建筑	jian4 zhu4	100000000
十一	shi2 yi1	100000000
资料	zi1 liao4	100000000
腾讯	teng2 xun4	100000000
观看	guan1 kan4	100000000
评价	ping2 jia4	100000000
东莞	dong1 guan3	100000000
精品	jing1 pin3	100000000
搜索	sou1 suo3	100000000
苏州	su1 zhou1	100000000
服装	fu2 zhuang1	100000000
都市	du1 shi4	100000000
天涯	tian1 ya2	100000000
三星	san1 xing1	100000000
快速	kuai4 su4	100000000
商品	shang1 pin3	100000000
有问	you3 wen4	100000000
交易	jiao1 yi4	100000000
金融	jin1 rong2	100000000
河北	he2 bei3	100000000
一一	yi1 yi1	100000000
电子	dian4 zi3	100000000
设备	she4 bei4	100000000
综合	zong1 he2	100000000
材料	cai2 liao4	100000000
搜狐	sou1 hu2	100000000
财经	cai2 jing1	100000000
开发	kai1 fa1	100000000
哪些	na3 xie1	100000000
生产	sheng1 chan3	100000000
装修	zhuang1 xiu1	100000000
房地产	fang2 di4 chan3	100000000
大众	da4 zhong4	100000000
提供	ti2 gong1	100000000
中文网	zhong1 wen2 wang3	100000000
商务	shang1 wu4	100000000
土地	tu3 di4	100000000
